Coin, Helmet, Hydra, Lightning			01 - Your Basic DID (Beginner)
Pegasus, Archer, Minotaur, Medusa		01 - Your Basic DID (Herculean)
Gladiator, Minotaur, Gladiator, Medusa		01 - Your Basic DID (Medium)
Hercules' Head, Medusa, Pegasus, Pegasus	02 - The Hero's Gauntlet (Beginner)
Nessus, Hydra, Helmet, Lightning		02 - The Hero's Gauntlet (Herculean)
Hydra, Medusa, Coin, Medusa			02 - The Hero's Gauntlet (Medium)
Lightning, Coin, Lightning, Archer		03 - Centaur's Forest (Beginner)
Lightning, Minotaur, Gladiator, Gladiator	03 - Centaur's Forest (Herculean)
Nessus, Hercules' Head, Minotaur, Archer	03 - Centaur's Forest (Medium)
Archer, Gladiator, Hydra, Lightning		04 - The Big Olive Part 1 (Beginner)
Minotaur, Medusa, Hydra, Medusa			04 - The Big Olive Part 1 (Herculean)
Nessus, Coin, Hydra, Hercules' Head		04 - The Big Olive Part 1 (Medium)
Lightning, Minotaur, Medusa, Coin		05 - The Big Olive Part 2 (Beginner)
Archer, Helmet, Archer, Coin			05 - The Big Olive Part 2 (Herculean)
Gladiator, Hydra, Archer, Gladiator		05 - The Big Olive Part 2 (Medium)
Pegasus, Coin, Lightning, Archer		06 - Hydra Canyon (Beginner)
Medusa, Gladiator, Pegasus, Coin		06 - Hydra Canyon (Herculean)
Coin, Helmet, Coin, Gladiator			06 - Hydra Canyon (Medium)
Nessus, Helmet, Gladiator, Lightning		07 - Medusa's Lair (Beginner)
Hydra, Gladiator, Pegasus, Nessus		07 - Medusa's Lair (Herculean)
Archer, Pegasus, Archer, Nessus			07 - Medusa's Lair (Medium)
Pegasus, Nessus, Nessus, Hydra			08 - Cyclops Attack (Beginner)
Helmet, Pegasus, Minotaur, Medusa		08 - Cyclops Attack (Herculean)
Helmet, Pegasus, Hercules' Head, Archer		08 - Cyclops Attack (Medium)
Pegasus, Pegasus, Helmet, Coin			09 - Titan Flight (Beginner)
Hydra, Pegasus, Pegasus, Helmet			09 - Titan Flight (Herculean)
Gladiator, Coin, Coin, Lightning		09 - Titan Flight (Medium)
Gladiator, Hercules' Head, Medusa, Coin		10 - Passageway Of Eternal Torment (Herculean)
Medusa, Gladiator, Nessus, Pegasus		10 - Passageway Of Eternal Torment (Medium)
Coin, Hydra, Minotaur, Gladiator		11 - Vortex Of Souls (Herculean)
Gladiator, Lightning, Gladiator, Nessus		11 - Vortex Of Souls (Medium)
Nessus, Medusa, Helmet, Hydra			12 - View FMV sequences (Herculean)
Pegasus, Gladiator, Nessus, Gladiator		12 - View FMV sequences (Medium)
