CRC_HASH=B548B0F	STR_LEN=4	STR_OUT=path
CRC_HASH=79D17D8E	STR_LEN=6	STR_OUT=assets/heart
CRC_HASH=60ECC3E6	STR_LEN=5	STR_OUT=heart
CRC_HASH=59D92580	STR_LEN=12	STR_OUT=texpc_pc.dic
CRC_HASH=59D92580	STR_LEN=12	STR_OUT=texpc_pc.dic
CRC_HASH=59D92580	STR_LEN=12	STR_OUT=texpc_pc.dic
CRC_HASH=59D92580	STR_LEN=12	STR_OUT=texpc_pc.dic
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx.xmc
CRC_HASH=25EF05A2	STR_LEN=11	STR_OUT=soundfx.xmc
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx.xmc
CRC_HASH=25EF05A2	STR_LEN=11	STR_OUT=soundfx.xmc
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx.xmc
CRC_HASH=25EF05A2	STR_LEN=11	STR_OUT=soundfx.xmc
CRC_HASH=F12306F1	STR_LEN=6	STR_OUT=sounds/soundfx.xmc
CRC_HASH=25EF05A2	STR_LEN=11	STR_OUT=soundfx.xmc
CRC_HASH=720FEAB8	STR_LEN=13	STR_OUT=mastervolumes
CRC_HASH=7122111B	STR_LEN=7	STR_OUT=soundfx
CRC_HASH=CD52224A	STR_LEN=5	STR_OUT=music
CRC_HASH=F0C732FB	STR_LEN=8	STR_OUT=ambiance
CRC_HASH=E7FB583B	STR_LEN=5	STR_OUT=voice
CRC_HASH=7CC7DA2C	STR_LEN=5	STR_OUT=video
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=64C19C1	STR_LEN=8	STR_OUT=category
CRC_HASH=F88EC384	STR_LEN=5	STR_OUT=sound
CRC_HASH=F88EC384	STR_LEN=5	STR_OUT=sound
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=77153098	STR_LEN=4	STR_OUT=code
CRC_HASH=180718DF	STR_LEN=6	STR_OUT=reverb
CRC_HASH=F143BFAD	STR_LEN=7	STR_OUT=variant
CRC_HASH=F143BFAD	STR_LEN=7	STR_OUT=variant
CRC_HASH=B99ACDDE	STR_LEN=6	STR_OUT=volume
CRC_HASH=41405E39	STR_LEN=7	STR_OUT=element
CRC_HASH=BC419E6E	STR_LEN=7	STR_OUT=surface
CRC_HASH=937AB034	STR_LEN=9	STR_OUT=character
CRC_HASH=C31AA52B	STR_LEN=6	STR_OUT=dpitch
CRC_HASH=EACDDBF5	STR_LEN=7	STR_OUT=dvolume
CRC_HASH=AA008C35	STR_LEN=6	STR_OUT=ecount
